"id","name","button_cost","time_cost","button_income","placement_gain","gain_per_time_pos0","advance_breakeven_pos"
1,"2",2,1,0,2,2,53
2,"v",1,3,0,5,1.66666666666667,53
3,"3",2,2,0,4,2,53
4,"j",3,1,0,3,3,53
5,"t",2,2,0,6,3,53
6,"4",3,3,1,5,4.66666666666667,53
7,"s",3,2,1,5,7,53
9,"l",4,2,1,4,6.5,53
12,"u",1,2,0,9,4.5,53
13,"z",2,3,1,8,5.66666666666667,53
14,"p",2,2,0,8,4,53
15,"y",3,4,1,7,4,53
16,"x",5,4,2,5,5.75,53
17,"T",5,5,2,5,4.6,53
18,"5",7,1,1,3,12,53
21,"A",0,3,1,12,7,53
22,"U",1,5,1,11,4,53
23,"N",1,2,0,11,5.5,53
24,"k",2,1,0,10,10,53
25,"e",3,6,2,9,4.5,53
26,"Z",4,2,0,8,4,53
27,"m",7,4,2,5,5.75,53
28,"1",7,2,2,5,11.5,53
31,"X",1,4,1,13,5.5,53
32,"H",2,3,0,12,4,53
33,"O",5,3,1,11,6.66666666666667,53
8,"L",4,6,2,4,3.66666666666667,52
29,"d",8,6,3,4,5.16666666666667,52
30,"q",10,5,3,2,5.8,52
10,"o",6,5,2,2,4,46
11,"S",7,6,3,1,4.66666666666667,46
19,"w",10,4,3,0,6.75,46
20,"J",10,3,2,0,6,46
